Name;ShortName;Description;IsMultipleValue;IsBuiltIn;Owner;ContainerType;MeasurementScale;EntitySelectionPredicate;Self;DataType;Unit;Methodology;Constraints;ExtendedProperties;GlobalizationInfos;AggregateFunctions;REMARK
height, width, length, distance;length;SI based length;;;;;ratio, continuous;;;Floating Point Number;m;;;;;;
mass;mass;SI based mass;;;;;ratio, continuous;;;Floating Point Number;kg;;;;;;
time (duration);duration;SI based time;;;;;ratio, continuous;;;Floating Point Number;s;;;;;;
electric current;current;SI based electric current;;;;;interval, continuous;;;Floating Point Number;A;;;;;;
thermodynamic temperature;absolute temperature;SI based thermodynamic temperature;;;;;ratio, continuous;;;Floating Point Number;°K;;;;;;
amount of substance;amount of substance;SI based amount of substance;;;;;ratio, continuous;;;Floating Point Number;mol;;;;;;
luminous intensity;luminous intensity;SI based luminous intensity;;;;;ratio, continuous;;;Floating Point Number;cd;;;;;;
power;power;SI based power;;;;;ratio, continuous;;;Floating Point Number;W;;;;;;W = J/s
energy;energy;SI based energy;;;;;ratio, continuous;;;Floating Point Number;J;;;;;;
katal;katal;SI based catalytic (enzymatic) activity;;;;;interval, continuous;;;Floating Point Number;kat;;;;;;1 kat = 60 * 10^6 U, U = enzymatic activity
frequency;frequency;SI based frequency;;;;;ratio, continuous;;;Floating Point Number;Hz;;;;;;not quantity per time
electric potential difference;voltage;SI based electric potential difference;;;;;ratio, continuous;;;Floating Point Number;V;;;;;;
quantity;quantity;quantity, number, count;;;;;ratio, discrete;;;Floating Point Number;none;;;;;;
quantity, time specified;quantityPerTime;quantity, time specified;;;;;ratio;;;Floating Point Number;1/s;;;;;;
quantity, area specified;quantityPerArea;quantity, area specified;;;;;ratio;;;Floating Point Number;1/m^2;;;;;;
quantity, mass specified;quantityPerMass;quantity, mass specified;;;;;ratio;;;Floating Point Number;1/kg;;;;;;
temerature celsius skaled;temperature;temerature celsius skaled;;;;;interval, continuous;;;Floating Point Number;°C;;;;;;
velocity;velocity;velocity in meter per second;;;;;ratio, continuous;;;Floating Point Number;m/s;;;;;;
precipitation amount;rain;amount of precipitation;;;;;ratio, continuous;;;Floating Point Number;L/m^2;;;;;;1 l/m² = 1 mm
precipitation rate;rainfall;intensity of rainfall in mm per h;;;;;ratio, continuous;;;Floating Point Number;L/(m^2*h);;;;;;1 l/m² = 1 mm
percentage;percentage;relationship expressed as a fraction of 100;;;;;ratio, continuous;;;Floating Point Number;%;;;;;;
per mille;permille;relationship expressed as a fraction of 1000;;;;;ratio, continuous;;;Floating Point Number;‰;;;;;;
proportion;proportion;relationship, relations;;;;;ratio, continuous;;;Floating Point Number;none;;;;;;
relationship;ratio;relationship between values of the same unit;;;;;ratio, continuous;;;Floating Point Number;none;;;;;;
volume fraction;ratioVol;relationship between volumes, proportionality;;;;;ratio, continuous;;;Floating Point Number;m^3/m^3;;;;;;unit=1, d.h. m³/m³, nicht cm³/m³ und kein %, aber in % umrechenbar
mass fraction;ratioMass;relationship between masses, proportionality;;;;;ratio, continuous;;;Floating Point Number;kg/kg;;;;;;unit=1, d.h. g/g oder kg/kg, nicht g/kg und kein %, aber in % umrechenbar
area fraction;ratioArea;relationship between areas, proportionality;;;;;ratio, continuous;;;Floating Point Number;m^2/m^2;;;;;;unit=1, d.h. m^2/m^2 oder cm^2/cm^2, nicht cm^2/m^2 und kein %, aber in % umrechenbar
area per volume;ratioAreaVol;relationship between area and volume;;;;;ratio, continuous;;;Floating Point Number;m^2/m^3;;;;;;
area per mass;ratioAreaMass;relationship between area and mass;;;;;ratio, continuous;;;Floating Point Number;m^2/kg;;;;;;
mass per area;ratioMassArea;relationship between mass and area;;;;;ratio, continuous;;;Floating Point Number;kg/m^2;;;;;;
