Name (final);Abbreviation;Description;DimensionName;Measurement System;Data Types;used by;conversion to SI;remark
none;none;no unit used;dimensionless;Unknown;string,integer,double,decimal,non-negative long,non-negative integer,number,bool,text,date,time,datetime;attribute or variable;0;
micromol per square metre and second;µmol/(m^2*s);amount of substance per area and time unit;amount per area time;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1,00E-06;
nanomol per gram;nmol/g;amount of substance per mass unit;amount per mass;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;0.000000001;
micromol per gram;µmol/g;amount of substance per mass unit;amount per mass;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1,00E-03;
square metre;m^2;area unit (SI);area;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1;
square centimetre;cm^2;area unit;area;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1,00E-04;
square millimetre per gram;mm^2/g;area per mass unit;area per mass;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1,00E-03;
area ratio;m^2/m^2;area ratio unit (base unit);area ratio;Unknown;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1;
percent;%;ratio expressed as a fraction of 100;dimensionless;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1,00E-02;
degree;°;angle unit;dimensionless;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;0;
parts per million;ppm;ratio expressed as a fraction of 1.000.000;dimensionless;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;0.0001;
permille;‰;ratio expressed as a fraction of 1.000;dimensionless;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;0.1;
beaufort scale;Bft;Beaufort wind force scale unit;dimensionless;Unknown;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;0;
microsiemens per centimetre;µS/cm;electrical conductivity unit;electrical conductor;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1,00E-04;
centimetre;cm;length unit;length;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1,00E-02;
metre;m;length unit (SI unit);length;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1;
millimetre;mm;length unit;length;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1,00E-03;
micrometre;µm;length unit;length;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1,00E-06;
metre per gram;m/g;length per mass unit;length per mass;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1,00E+03;
kilometre per hour;km/h;velocity unit;length per time;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;(1/36)E1;
metre per second;m/s;velocity unit (SI unit);length per time;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1;
mircometre per second;µm/s;velocity unit;length per time;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;;
gram;g;mass unit;mass;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1,00E-03;
milligram;mg;mass unit;mass;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1,00E-06;
kilogram;kg;mass unit (SI unit);mass;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1;
nanogram;ng;mass unit;mass;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;;
gram per square metre;g/m^2;mass per area unit;mass per area;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1,00E-03;
milligram per square metre;mg/m^2;mass per area unit;mass per area;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1,00E-06;
gram per square metre and day;g/(m^2*d);mass per area and time unit;mass per area and time unit;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;;
kilogram per hectare year;kg/(ha*a);mass per area and time unit;mass per area and time unit;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;;
watt per square metre;W/m^2;power per area (base unit);mass per time 3;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1;
milligram per litre;mg/l;mass per volume unit;mass per volume;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1,00E-03;
gram per cubic centimetre;g/cm^3;mass per volume unit;mass per volume;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1,00E+03;
milligram per millilitre;mg/ml;mass per volume unit;mass per volume;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;;
microgram per gram;µg/g;ratio of masses;mass ratio;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1,00E-06;
milligram per gram;mg/g;ratio of masses;mass ratio;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1,00E-03;
milligram per kilogram;mg/kg;ratio of masses;mass ratio;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1,00E-06;
gram kilogram ratio;g/kg;ratio of masses;mass ratio;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1,00E-03;
nanogram per gram;ng/g;ratio of masses;mass ratio;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1,00E-09;
mass ratio;kg/kg;ratio of masses (base unit);mass ratio;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1;
gram ratio;g/g;ratio of masses;mass ratio;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1;
microgram per gram and hours;µg/(g*h);mass ratio per time unit, enzyme activity;mass ratio per time;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;;
nanogram per gram and hour;ng/(g*h);mass ratio per time unit, gas uptake;mass ratio per time;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;(1/36)E-8;
per square metre;1/m^2;quantity per area unit (base unit);per area;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1;
per gram;1/g;quantity per mass unit;per mass;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1,00E+03;
per year;1/a;quantity per time unit;per time;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;(1/31.5576)E-6;
per millilitre;1/ml;quantity per volume unit;per volume;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;0.001;
per litre;1/l;quantity per volume unit (base unit);per volume;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1;
millibar;mbar;pressure unit;pressure;Unknown;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1,00E+02;
hectopascal;hPa;pressure unit;pressure;Unknown;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1,00E+02;
degree celsius;°C;temperature unit;temperature;Metric;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1;
day;d;time unit;time;Unknown;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;86400;
year;a;time unit (Julian year);time;Unknown;integer,double,decimal,non-negative long,non-negative integer,number;attribute or variable;1;
